Index,DigiKey Part #,Manufacturer Part Number,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,SC2028-1-ND,RASM722PTR13X,CONN PWR JACK 2.1X5.5MM SOLDER,,1,0,$2.96000,$2.96
2,497-1171-1-ND,L7805CD2T-TR,IC REG LINEAR 5V 1.5A D2PAK,,1,0,$0.69000,$0.69
3,490-3327-1-ND,GRM219R71H334KA88D,CAP CER 0.33UF 50V X7R 0805,,2,0,$0.40000,$0.80
4,311-1088-1-ND,CC0603KRX7R7BB104,CAP CER 0.1UF 16V X7R 0603,,2,0,$0.08000,$0.16
5,296-6501-1-ND,NE555DR,IC OSC SGL TIMER 100KHZ 8-SOIC,,1,0,$0.20000,$0.20
6,311-10KARCT-ND,RC0805JR-0710KL,RES 10K OHM 5% 1/8W 0805,,2,0,$0.10000,$0.20
7,1276-1946-1-ND,CL10B105KP8NNNC,CAP CER 1UF 10V X7R 0603,,2,0,$0.08000,$0.16
8,1276-1274-1-ND,CL10A226MP8NUNE,CAP CER 22UF 10V X5R 0603,,1,0,$0.12000,$0.12
9,1276-1119-1-ND,CL10A106MQ8NNNC,CAP CER 10UF 6.3V X5R 0603,,1,0,$0.08000,$0.08
10,296-14252-1-ND,CD4017BPWR,IC DECADE COUNTER 10BIT 16TSSOP,,1,0,$0.49000,$0.49
11,1655-1N4007FLCT-ND,1N4007FL,DIODE STANDARD 1000V 1A SOD123FL,,5,0,$0.13000,$0.65
12,455-B5B-XH-AM-ND,B5B-XH-AM,CONN HEADER VERT 5POS 2.5MM,,1,0,$0.30000,$0.30
13,311-1.00KCRCT-ND,RC0805FR-071KL,RES 1K OHM 1% 1/8W 0805,,3,0,$0.10000,$0.30
,,,,,,,Subtotal,$7.11
